Nome,Cobrada?,Cobrado,Criado em,Data Aceite do Cliente,Data Liberação RFI,Data Planejada de Execução,Demanda relacionada,Horas Estimadas,Horas Trabalhadas,ID,Key Account,Motivo do Cancelamento,Responsável pela RFI,Resumo Assunto,Status,Task (Linear),Valor Calculado,Valor Negociado com Cliente,criado por,👥 Clientes,🤿 Demandas de Clientes
Lenny | RFI : Escopo - Validação Empenho Pendente,,,1 de abril de 2026 17:01,1 de abril de 2026,,,Lenny Niemeyer,2,,86,,,Marina Santoro,Ops: Validação Empenho Pendente (cor 0000 ou ALTERAR COR),RFI Cancelada,,"R$ 600,00",R$600,Marina Santoro,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21),
Osklen | RFI : Escopos - Ajustes de Ficha de Impressão,💰,,2 de abril de 2026 15:58,,,,Osklen,10,,88,Julianne,,Ju Ferré,Alterações em Templates de Impressão de Ficha após a validação e homologação da entrega,RFI Liberada para Comercial negociar com Cliente,-,"R$ 3.000,00","R$3.000,00",Ju Ferré,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21),
Puket | RFI: Escopo - Exportação Dados,,,7 de abril de 2026 10:55,,,,Puket,,,89,Julianne,,Ju Ferré,Exportação do Mapa,RFI Em Andamento,,"R$ 0,00",R$,Ju Ferré,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
NK STORE | RFI: Escopo - Suspensão do serviço de código de barras,,,9 de abril de 2026 11:56,,7 de abril de 2026,7 de abril de 2026,NK STORE,"1,5",1,90,Julianne,,Marina Santoro,Suspensão do serviço de código de barras na integração de escrita,RFI Liberada para Comercial negociar com Cliente,-,"R$ 450,00",R$ 450,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),
CAEDU | RFI : Escopo - API de Imagens,,,10 de abril de 2026 16:34,,10 de abril de 2026,,Caedu,,,91,Julianne,,Marina Santoro,API para consumir as imagens que estão na plataforma,RFI Stand By,,"R$ 0,00",,Marina Santoro,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21),Desenvolver API de imagens (https://app.notion.com/p/Desenvolver-API-de-imagens-348b1d38e7688030999cdf2bb173b023?pvs=21)
VIX | RFI: Escopo - Inclusão de Campos na integração,,,14 de abril de 2026 12:28,14 de abril de 2026,,4 de maio de 2026 → 29 de maio de 2026,VIX,8,,92,Julianne,,"Marina Santoro, Julianne Rodrigues",Inclusão de 2 campos na integração,RFI Post Mortem,https://linear.app/umode/project/vix-inclusao-de-campo-na-integracao-de-escrita-rfi-92-c7bdec6be277/overview,"R$ 2.400,00",2.400,Julianne Rodrigues,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),Inclusão de campos na integração (https://app.notion.com/p/Inclus-o-de-campos-na-integra-o-322b1d38e76880d3945ad2010a5e9f4e?pvs=21)
Reserva/Oficina | RFI: Escopo - Campo de Coleção por Variante,,,20 de abril de 2026 11:16,,20 de abril de 2026,13 de maio de 2026 → 20 de maio de 2026,"Oficina Reserva,Reserva",4,,94,Fernanda,,,Campo de Coleção por Variante,RFI Post Mortem,https://linear.app/umode/project/reservaoficina-inclusao-de-campo-na-interface-3-rfi-94-f88474b4bc49/overview,"R$ 1.200,00",,Marina Santoro,"Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21), Reserva (https://app.notion.com/p/Reserva-1be195276d794e1d98a35cddd9d2a508?pvs=21)",
LUIZA BARCELOS | RFI : Enviar e-mail qdo mover produto,,,20 de abril de 2026 11:53,,,,Luiza Barcelos,15,,95,Laura,,"Laura Delgado, Andrea Holmer",Envio de e-mail quando mover produto,RFI Liberada para Comercial negociar com Cliente,,"R$ 4.500,00",,Andrea Holmer,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21),
Cambos | RFI: Escopo - Integração Instantânea,,,23 de abril de 2026 14:58,,23 de abril de 2026,,Cambos,40,,96,Laura,,Marina Santoro,Integração de leitura e escrita conforme demanda,RFI Liberada para Comercial negociar com Cliente,,"R$ 12.000,00",3.6-12k,Marina Santoro,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21),
NK STORE | RFI : Escopo - Atualizar custos mps empenhadas em 54 produtos,🎁,,27 de abril de 2026 15:52,,27 de abril de 2026,,NK STORE,9,,97,Julianne,,Julianne Rodrigues,Atualizar custos de Mp dinâmicos,RFI Post Mortem,,"R$ 2.700,00",,Julianne Rodrigues,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),Atualizar custos de mp e em mp e produtos (https://app.notion.com/p/Atualizar-custos-de-mp-e-em-mp-e-produtos-341b1d38e76880589d6fd924bdb50606?pvs=21)
PUKET | RFI : Escopo - Conexão SMB,🎁,Não,29 de abril de 2026 08:41,,5 de fevereiro de 2026,,Puket,8,,100,Julianne,,Marina Santoro,Conexão SMB,RFI Post Mortem,https://linear.app/umode/project/modularizacao-conexao-smb-efce18af5999,"R$ 2.400,00",R$ 1.272,Ju Ferré,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
"Osklen | RFI : Escopo : Adicionar cabeçalho em todas as páginas das fichas de impressão :calçados , acessórios e vestuário",,,29 de abril de 2026 15:42,,,,Osklen,,,101,Julianne,,Julianne Rodrigues,"Melhoria e alterações em Templates de Impressão ",RFI Não iniciada,,"R$ 0,00",,Julianne Rodrigues,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21),"Adicionar cabeçalho em todas as páginas da ficha de calçados , acessórios e vestuário (https://app.notion.com/p/Adicionar-cabe-alho-em-todas-as-p-ginas-da-ficha-de-cal-ados-acess-rios-e-vestu-rio-348b1d38e7688078a040cdfb7be882fb?pvs=21)"
Osklen | RFI : Escopo : Enviar apenas 1 tamanho/preenchdio da tabela de meiddas para o template de impressão,,,29 de abril de 2026 15:47,,,,Osklen,,,103,Julianne,,Julianne Rodrigues,Melhoria tabela de medidas e template,RFI Não iniciada,,"R$ 0,00",,Julianne Rodrigues,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21),Enviar somente o tamanho preenchido da tabela para a impressão (https://app.notion.com/p/Enviar-somente-o-tamanho-preenchido-da-tabela-para-a-impress-o-348b1d38e76880a3ae77ed36ce60b74f?pvs=21)
Lofty | RFI: Escopo - Custo da Variante com Material por Tamanho,,,5 de maio de 2026 10:55,,5 de maio de 2026,,Lofty Style,30,,104,Laura,,Ju Ferré,Custo da Variante com Material por Tamanho,RFI Liberada para Comercial negociar com Cliente,,"R$ 9.000,00",6-9k,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
"PUKET | RFI : Escopo - Alteração de IP e Credencial ",💰,,6 de maio de 2026 16:44,,6 de maio de 2026,,Puket,4,,105,,,Marina Santoro,Alteração de IP Integração,RFI Entregue ao Cliente,,"R$ 1.200,00","R$1,800 (acréscimo de 50% de taxa de urgência)",Marina Santoro,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
NV | RFI : Escopo - Otimização dos dados da API,,,7 de maio de 2026 16:54,,7 de maio de 2026,,NV,8,,106,Fernanda,,Marina Santoro,Otimização de atualização dos dados da API,RFI Em Andamento,,"R$ 2.400,00",,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),1 - Otimização de atualização dos dados da API (https://app.notion.com/p/1-Otimiza-o-de-atualiza-o-dos-dados-da-API-352b1d38e76880ea99f5c7ca82a0b77f?pvs=21)
LUIZA BARCELOS | RFI : Mudança das Ações do Workflow,,,8 de maio de 2026 09:11,,,,Luiza Barcelos,,,107,Laura,,Laura Delgado,Ações do Workflow,RFI em Rascunho,,"R$ 0,00",,Laura Delgado,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21),
NK STORE | RFI : Escopo - Módulo de Acervo,,,8 de maio de 2026 15:03,,8 de maio de 2026,,NK STORE,9,,108,Julianne,Cliente optou por fazer manual via importação,Marina Santoro,Módulo de Acervo - Coleção The Coolest,RFI Cancelada,,"R$ 2.700,00",,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),Trazer coleção The Collest via módulo de acervo (https://app.notion.com/p/Trazer-cole-o-The-Collest-via-m-dulo-de-acervo-35db1d38e76880738d80fa01e89c74dd?pvs=21)
NK STORE | RFI : Escopo - Alteração de parâmetro (dados contábeis),,,11 de maio de 2026 11:44,,11 de maio de 2026,,NK STORE,4,,109,Julianne,,Marina Santoro,Integração de escrita: Alteração de parâmetro de dados contábeis,RFI Liberada para Comercial negociar com Cliente,,"R$ 1.200,00",,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),
Lofty | RFI: Escopo - EnriqueceAI + Integração Vtex,,,15 de maio de 2026 14:19,,15 de maio de 2026,,Lofty Style,80,,110,Laura,,Marina Santoro,"Enriquecimento automático de catálogo (SEO + GEO) com validação por agente de IA, em fluxo VTEX → uMode → VTEX, sem intervenção humana no fluxo principal.",RFI Pronta para Estimar,https://docs.google.com/document/d/1oehld2Ny_JmYFvJthRfg1KOGYIwmEZHu/edit,"R$ 24.000,00",24k+6.5k,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
Reserva | RFI: Escopo - API,,,19 de maio de 2026 16:02,,19 de maio de 2026,,Reserva,24,,111,Fernanda,,,API Reserva,RFI Pronta para Estimar,,"R$ 7.200,00",,Marina Santoro,Reserva (https://app.notion.com/p/Reserva-1be195276d794e1d98a35cddd9d2a508?pvs=21),
Lofty | RFI: Escopo - Campo Família - Integrado com o Linx,,,22 de maio de 2026 16:05,,,,Lofty Style,6,,113,Laura,,Marina Santoro,Integrar o campo família com o Linx (Escrita),RFI Liberada para Comercial negociar com Cliente,,"R$ 1.800,00",,Laura Delgado,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
VIX | RFI : Escopo - Mudança de regra na geração do código de produto,💰,Sim,2 de junho de 2026 15:33,,8 de janeiro de 2026,,VIX,6,,115,Julianne,,Julianne Rodrigues,Mudança de regra na geração do código de produto considerar campo griffe,RFI Post Mortem,https://cxhub.umode.tech/demands/011ffd07-88a9-4335-959e-6d80e926d389,"R$ 1.800,00",R$,Julianne Rodrigues,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
VIX | RFI : Escopo - Inclusão de campos na integração de escrita (propriedades),,,1 de julho de 2026 11:37,,,,VIX,4,,116,Julianne,,Marina Santoro,Inclusão de campos na integração de escrita (propriedades),RFI Em Andamento,,"R$ 1.200,00",,Marina Santoro,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
Lofty | RFI: Escopo - Alterações na integração de escrita,,,3 de julho de 2026 12:46,,,,Lofty Style,4,,118,Laura,,Marina Santoro,Sobreescrever grupo e subrgupo quando atualizado na uFlow e tirar toda a integração relacionada a custos e preços,RFI Pronta para Estimar,,"R$ 1.200,00",,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
